店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
日本橋 朱鷺,中央区日本橋小伝馬町8-2,中央区,3.61,207,4682,[月～金]11:30～15:00(L.O.14:45)17:30～21:00(L.O.20:45)[土・日・祝]11:30～16:00(L.O.15:45),[月～金]11:30～15:00(L.O.14:45)17:30～21:00(L.O.20:45)[土・日・祝]11:30～16:00(L.O.15:45),"￥1,000～￥1,999",無,6席,無
こうや麺房（こうやめんぼう）,文京区本郷2-10-8,文京区,3.61,203,6580,[月・火・木・金］11:00～15:00(L.O.14:45)18:00～21:45(L.O.)[水・土］11:00～15:00(L.O.14:45),[月・火・木・金］11:00～15:00(L.O.14:45)18:00～21:45(L.O.)[水・土］11:00～15:00(L.O.14:45),"￥1,000～￥1,999",無,23席,無
麺家 千祥,荒川区町屋1-2-7 ヴェルデセゾン 1F,荒川区,3.61,202,3900,,,～￥999,無,11席,無
麺処 にぼし香,中央区日本橋蛎殻町2-2-2 山口ビル 1F,中央区,3.61,188,4636,11:00～15:00(L.O.14:30),11:00～15:00(L.O.14:30),"￥1,000～￥1,999",無,情報なし席,無
えーちゃん食堂,目黒区下目黒3-4-6 サンライズ目黒 1Ｆ,目黒区,3.61,183,14080,7:00頃～11:00(材料無くなり次第終了),7:00頃～11:00(材料無くなり次第終了),"￥1,000～￥1,999",無,情報なし席,無
らあめん 満家（ミツルヤ）,新宿区百人町1-21-4,新宿区,3.61,169,6883,［月〜金］11:30〜15:00,［月〜金］11:30〜15:00,～￥999,無,8席,無
麦処 八と丁,江戸川区一之江8-2-20,江戸川区,3.61,148,3487,11:30～14:3018:00～21:00(スープなくなり次第終了の場合あり),11:30～14:3018:00～21:00(スープなくなり次第終了の場合あり),"￥1,000～￥1,999",無,7席,無
らあめん あじるく,豊島区北大塚1-19-1 大塚アイワハイツ 1F,豊島区,3.61,117,5576,1130～14:30,1130～14:30,"￥1,000～￥1,999",無,11席,無
背油中華そば 福鳳,杉並区高円寺北2-34-7 笠間ビル 1F,杉並区,3.61,117,2690,10:00～25:0025時まで営業中‼︎※食材が無くなり次第早仕舞いあります。,10:00～25:0025時まで営業中‼︎※食材が無くなり次第早仕舞いあります。,～￥999,無,16席,無
だしの虜,港区六本木,港区,3.61,113,6038,ランチ11:30～15:00（最終入店14:00）ディナー※営業日はInstagramでお知らせいたします。,ランチ11:30～15:00（最終入店14:00）ディナー※営業日はInstagramでお知らせいたします。,"￥1,000～￥1,999",無,14席,無
麺や 穂ころび,文京区本郷3-33-3 本郷ビル 1F,文京区,3.61,100,3018,[月・水・木・金]11:30～15:3018:00～21:30※1月9日(火曜日)は夜も営業[火・土]11:30～15:30※1月8日(月曜祭日)は昼のみ営業,[月・水・木・金]11:30～15:3018:00～21:30※1月9日(火曜日)は夜も営業[火・土]11:30～15:30※1月8日(月曜祭日)は昼のみ営業,"￥1,000～￥1,999",無,8席,無
亀有中華そば水しま,足立区中川3-10-3 鈴木ビル 1F,足立区,3.61,85,2158,［月～水・金～日] 朝7:00～スープ切れまで,［月～水・金～日] 朝7:00～スープ切れまで,"￥1,000～￥1,999",無,11席,無
中華ソバ モンタナ 上石神井店（燜tana）,練馬区上石神井﻿1-39-26﻿ サウダージ 1F,練馬区,3.61,72,2296,[火～日]11:30～14:30,[火～日]11:30～14:30,～￥999,無,8席,無
麺屋 寛,杉並区荻窪1-5-19,杉並区,3.61,68,1825,11:00～15:00 17:00～20:00,11:00～15:00 17:00～20:00,～￥999,無,14席,無
えびそば 一幻 新宿店,新宿区西新宿7-8-2 福八ビル 1F,新宿区,3.6,1416,47906,11:00～23:00,11:00～23:00,"￥1,000～￥1,999",無,13席,無
玉 バラそば屋 中野店,中野区中野5-59-14,中野区,3.6,1063,25598,営業時間11:00～21:00,営業時間11:00～21:00,"￥1,000～￥1,999",無,8席,無
つなぎ,渋谷区恵比寿1-4-1 アーバンハウス 1F,渋谷区,3.6,997,36971,朝ラー営業　7:00~10:00 （無休）営業曜日水.木.金.土.日曜日&祝日7時～ 朝ラーメンday※月.火曜日が祝日の場合営業します11:00～23:00,朝ラー営業　7:00~10:00 （無休）営業曜日水.木.金.土.日曜日&祝日7時～ 朝ラーメンday※月.火曜日が祝日の場合営業します11:00～23:00,～￥999,有,12席,有
俺式 純,千代田区丸の内1-9-1 東京駅一番街 東京ラーメンストリート,千代田区,3.6,816,10088,8:00～23:00(L.O.22:30),8:00～23:00(L.O.22:30),～￥999,無,30席,無
めん徳 二代目 つじ田   麹町店,千代田区平河町1-4-11 はらだビル １Ｆ,千代田区,3.6,774,17440,［月～金］11:00～22:00（スープが無くなり次第終了）［土・祝］11:00～21:00（スープが無くなり次第終了）,［月～金］11:00～22:00（スープが無くなり次第終了）［土・祝］11:00～21:00（スープが無くなり次第終了）,～￥999,無,8席,無
らすた 代々木店,渋谷区代々木1-38-10 代々木ＹＭＯビル １Ｆ,渋谷区,3.6,715,16898,11:00～22:00(L.O.21:30),11:00～22:00(L.O.21:30),～￥999,無,10席,無
風来居 新宿店（ふうらいきょ）,新宿区西新宿7-19-18 セードル新宿ハイツ　１Ｆ,新宿区,3.6,612,17705,11:00～23:00( 通し営業 )スープが終わり次第終了いたします,11:00～23:00( 通し営業 )スープが終わり次第終了いたします,～￥999,無,12席,無
北海道らーめん おやじ 町田店,町田市中町1-19-1,町田市,3.6,587,14336,[月・火・木・金]11:00～16:00 17:30～22:00(L.O.21:30)［土・日・祝］11:00～22:00(L.O.21:30),[月・火・木・金]11:00～16:00 17:30～22:00(L.O.21:30)［土・日・祝］11:00～22:00(L.O.21:30),"￥1,000～￥1,999",無,12席,無
メルシー,新宿区馬場下町63,新宿区,3.6,547,24786,11:00〜19:00,11:00〜19:00,～￥999,無,30席,無
タロー軒,杉並区高円寺南2丁目16番13号,杉並区,3.6,449,15810,24時間,24時間,～￥999,無,8席,無
ラーメン 武蔵家 中野本店,中野区中央4-4-1 藤晃ビル　１Ｆ,中野区,3.6,433,9293,11:00～翌2:00,11:00～翌2:00,～￥999,無,15席,無
二代目えん寺,中野区中野5-62-7,中野区,3.6,394,11816,［月～金］11:30～16:00／17:30～22:00［土・日・祝］11:30～22:00,［月～金］11:30～16:00／17:30～22:00［土・日・祝］11:30～22:00,"￥1,000～￥1,999",無,9席,無
Homemade Ramen 麦苗 COREDO室町店（ホームメードラーメン ムギナエ）,中央区日本橋室町2-3-1 COREDO室町2 B1F,中央区,3.6,388,7130,11:00～21:00(L.O.20:30),11:00～21:00(L.O.20:30),"￥1,000～￥1,999",有,30席,有
すずめ食堂,墨田区京島1-2-2,墨田区,3.6,377,9057,11:30～15:00 18:00～21:30※まん延防止等重点措置期間中は20:00閉店,11:30～15:00 18:00～21:30※まん延防止等重点措置期間中は20:00閉店,～￥999,有,8席,有
武道家 吉祥寺店,武蔵野市吉祥寺南町1-5-11 丸善ビル 1F,武蔵野市,3.6,343,8158,11:00～翌2:00,11:00～翌2:00,～￥999,無,13席,無
孫鈴舎（まごりんしゃ）,千代田区丸の内1-10-9,千代田区,3.6,318,10931,[月～金]7:00～10:30(朝ラーメンのみ)10:30～22:00(L.O.22:00)[土]11:00～15:00(L.O15:00),[月～金]7:00～10:30(朝ラーメンのみ)10:30～22:00(L.O.22:00)[土]11:00～15:00(L.O15:00),～￥999,無,16席,無
塩つけ麺 灯花,新宿区四谷2-11 龍文堂ビル 1F,新宿区,3.6,275,8701,11:00～22:00（ラストオーダー21：50）,11:00～22:00（ラストオーダー21：50）,～￥999,無,12席,無
自家製麺 啜乱会（じかせいめん すすらんかい）,葛飾区新小岩1-50-12,葛飾区,3.6,272,6416,11:30～24:00(L.O.23:45),11:30～24:00(L.O.23:45),"￥1,000～￥1,999",無,情報なし席,無
一平ソバ（いっぺいそば）,小金井市梶野町3-17-12,小金井市,3.6,272,5788,11:00～21:00(L.O.20:30),11:00～21:00(L.O.20:30),"￥1,000～￥1,999",有,49席,有
弘富,八王子市明神町3-11-1,八王子市,3.6,264,6861,[月～土]11:00～18:00,[月～土]11:00～18:00,～￥999,有,9席,有
蓮爾 新町一丁目店（ハスミ）,世田谷区駒沢4-29-13 ケー・テー駒沢1F,世田谷区,3.6,253,9333,[火～金]17:00～23:00(LO.22:45)[土・祝]11:00～17:00(LO.16:45),[火～金]17:00～23:00(LO.22:45)[土・祝]11:00～17:00(LO.16:45),～￥999,無,9席,無
豚風。,品川区旗の台3-12-2,品川区,3.6,237,5412,11:00～24:00,11:00～24:00,"￥1,000～￥1,999",無,16席,無
道の塩,葛飾区亀有5-28-17,葛飾区,3.6,229,6871,,,"￥1,000～￥1,999",無,8席,無
麺匠 ヒムロク,西東京市田無町3-9-10,西東京市,3.6,220,5639,,,"￥1,000～￥1,999",無,7席,無
味幸（みこう）,八王子市西寺方町23-3,八王子市,3.6,192,5031,11:00～売り切れ次第終了,11:00～売り切れ次第終了,～￥999,有,14席,有
のんきや,西多摩郡奥多摩町原368-4,西多摩郡奥多摩町,3.6,169,4117,[月～日]10:30～15:30,[月～日]10:30～15:30,～￥999,有,35席,有
新潟ラーチャン専門 我武者羅 四谷店,新宿区四谷1-18-5 Belle四谷 1F,新宿区,3.6,149,3746,[月～金]11:00～21:00[土]11:00～16:00,[月～金]11:00～21:00[土]11:00～16:00,～￥999,無,情報なし席,無
DRIED SARDIN BROTHERS（煮干兄弟）,杉並区高円寺北3-22-8 大一市場内,杉並区,3.6,147,5502,[月～土]11:30～22:00(L.O.21:45)[日]11:30～21:00(L.O.20:45)(スープ無くなり次第閉店),[月～土]11:30～22:00(L.O.21:45)[日]11:30～21:00(L.O.20:45)(スープ無くなり次第閉店),"￥1,000～￥1,999",無,8席,無
でんでん,八王子市子安町1-37-6,八王子市,3.6,140,4606,【昼の営業】11:30～15:00【夜の営業(木・金・土のみ)】19:00～21:30,【昼の営業】11:30～15:00【夜の営業(木・金・土のみ)】19:00～21:30,～￥999,有,16席,有
中華そば 一陽来復,武蔵野市境2-2-6 EKビル 1F,武蔵野市,3.6,134,2717,[月～土]11:30～15:00(L.O.14:45)17:30～23:00(.LO.22:45)[日・祝]11:30～21:00(L.O.20:45)※連休の場合は最終日のみ日祝扱い,[月～土]11:30～15:00(L.O.14:45)17:30～23:00(.LO.22:45)[日・祝]11:30～21:00(L.O.20:45)※連休の場合は最終日のみ日祝扱い,～￥999,無,12席,無
中華麺 多文,新宿区神楽坂2-11-2,新宿区,3.6,133,4386,11:00～15:00(無くなり次第終了),11:00～15:00(無くなり次第終了),"￥1,000～￥1,999",無,9席,無
らーめん ぱったぱた（【旧店名】ぱたぱた家）,立川市羽衣町2-45-11,立川市,3.6,127,3300,11:00～15:00 17:00～22:00,11:00～15:00 17:00～22:00,～￥999,無,11席,無
浅草 熟成味噌らーめん のりあき･美々,台東区駒形1-9-9 川尻マンション 1F,台東区,3.6,116,4662,11:30～14:3018:00～23:00,11:30～14:3018:00～23:00,"￥1,000～￥1,999",無,10席,無
猫と月 chan mie noodles（猫と月 チャンミーヌードルズ）,調布市上石原2-21-5,調布市,3.6,114,2421,昼 11:00～14:00夜 17:00～20:00,昼 11:00～14:00夜 17:00～20:00,～￥999,無,7席,無
駅ラーメン 深だし中華そば,江戸川区平井3-30-35,江戸川区,3.6,113,1739,11:00～15:00(L.O.14:45)17:30～23:00(L.O.22:45),11:00～15:00(L.O.14:45)17:30～23:00(L.O.22:45),～￥999,無,8席,無
中華そば 西の,西東京市田無町4-26-3,西東京市,3.6,109,2729,［月～土］11:00～16:00 18:00～20:30［日］11:00～16:00,［月～土］11:00～16:00 18:00～20:30［日］11:00～16:00,～￥999,無,7席,無
口樂（こうらく）,八王子市下柚木2-9-11 シルキーパレスⅡ 1F,八王子市,3.6,106,3308,[火〜金]11:00〜14:30  ※臨時休業あり,[火〜金]11:00〜14:30  ※臨時休業あり,～￥999,有,13席,有
ラーメン あらしん,立川市錦町2-1-1,立川市,3.6,104,2688,11:30～15:0018:00〜23:00日曜日21:00,11:30～15:0018:00〜23:00日曜日21:00,～￥999,無,10席,無
自家製麺 頃場別邸（【旧店名】自家製麺 ご藤）,江戸川区南小岩7-25-16,江戸川区,3.6,102,3713,11:00～15:00,11:00～15:00,"￥1,000～￥1,999",無,5席,無
タナカタロウ,荒川区町屋8-4-8 藤和シティコープ町屋2 1F,荒川区,3.6,101,2402,(火)～(土)1130～14301730～2100(日)（祝）1130～1430,(火)～(土)1130～14301730～2100(日)（祝）1130～1430,"￥1,000～￥1,999",無,情報なし席,無
Zweiter Läden（スワイザーラーデン）,新宿区西早稲田3-15-5 K2ビル 1F,新宿区,3.6,94,3110,"[月・金・土・日]11:00～15:0018:00～23:00(L.O.22:30)[水・木]11:00～15:00※2024年2月2日より、夜は居酒屋""酒weiter Garden""として営業（麺類はRAMEN KURO、お子さまラーメンのみ）","[月・金・土・日]11:00～15:0018:00～23:00(L.O.22:30)[水・木]11:00～15:00※2024年2月2日より、夜は居酒屋""酒weiter Garden""として営業（麺類はRAMEN KURO、お子さまラーメンのみ）","￥2,000～￥2,999",無,7席,無
三鷹らーめん酒場SAL,武蔵野市中町1-21-8 イトーピア武蔵野ブランマーク 1F,武蔵野市,3.6,92,4676,【月〜土】17:00〜24:00 ※最終入店23:00ラストオーダーフード…23:00 ドリンク…23:30※年末年始の営業は12/31〜1/5までお休みとさせていただきます。※金土はお電話でのみご予約を受付しております。　ネット予約は停止しています。※月曜日が祝日の場合、日曜日営業致します。　その場合月曜日が振替でお休みです。,【月〜土】17:00〜24:00 ※最終入店23:00ラストオーダーフード…23:00 ドリンク…23:30※年末年始の営業は12/31〜1/5までお休みとさせていただきます。※金土はお電話でのみご予約を受付しております。　ネット予約は停止しています。※月曜日が祝日の場合、日曜日営業致します。　その場合月曜日が振替でお休みです。,"￥3,000～￥3,999",無,28席,無
福籠叉焼（フーロンチャーシュー）,中野区新井1-14-14,中野区,3.6,75,2787,11:30～15:0017:30～21:00,11:30～15:0017:30～21:00,"￥2,000～￥2,999",無,16席,無
麺屋 喜楽明人,板橋区東新町1-8-10,板橋区,3.6,75,1665,[月・火・水]6:30～8:3011:30～14:0018:00～21:00[木・金・土]6:30～8:3011:30～14:0018:00～23:00[日]6:30～8:3011:30～14:00,[月・火・水]6:30～8:3011:30～14:0018:00～21:00[木・金・土]6:30～8:3011:30～14:0018:00～23:00[日]6:30～8:3011:30～14:00,"￥1,000～￥1,999",無,情報なし席,無
みんみん,武蔵野市吉祥寺本町1-1-9,武蔵野市,3.59,1209,46918,［火・水・金］11:30〜15:00（昼営業）16:00〜20:00（夜営業）［土・日］11:30～20:00,［火・水・金］11:30〜15:00（昼営業）16:00〜20:00（夜営業）［土・日］11:30～20:00,～￥999,無,20席,無
瞠 池袋本店（miharu）,豊島区東池袋1-31-16 東商ビル３　１Ｆ,豊島区,3.59,1077,27507,毎日11：00～22：00,毎日11：00～22：00,～￥999,無,12席,無
タンメンしゃきしゃき 錦糸町本店,墨田区錦糸3-3-3,墨田区,3.59,814,22760,[月～土]11:00～23:30[日・祝]11:00～22:00※スープ・具材なくなり次第終了,[月～土]11:00～23:30[日・祝]11:00～22:00※スープ・具材なくなり次第終了,～￥999,無,11席,無
俺の空 新宿店,新宿区西新宿1-3-13 I&Kビル 1F,新宿区,3.59,771,22291,,,"￥1,000～￥1,999",無,20席,無
支那麺 はしご 赤坂店（しなめんはしご）,港区赤坂2-2-21 永田町法曹ビル　１Ｆ,港区,3.59,763,21039,［月・火・水・木・金］11:00～23:00［土・日・祝］11:00～21:00,［月・火・水・木・金］11:00～23:00［土・日・祝］11:00～21:00,"￥1,000～￥1,999",無,21席,無
馬子禄 牛肉面 神保町店（蘭州ラーメン 馬子禄）,千代田区神田神保町1-3-18,千代田区,3.59,729,33403,昼の部：11：00～15：00（L.O.）夜の部：17：00～20：30（閉店）,昼の部：11：00～15：00（L.O.）夜の部：17：00～20：30（閉店）,～￥999,無,45席,無
銀座 いし井 五反田店,品川区西五反田1-24-4,品川区,3.59,709,25162,11:00～22:00,11:00～22:00,～￥999,無,15席,無
支那麺 はしご 入船店（しなめんはしご）,中央区入船2-2-13 ライオンズマンション入船　山口ビル,中央区,3.59,650,12857,[月～金]11:00～翌3:00[土・日・祝]11:00～21:00,[月～金]11:00～翌3:00[土・日・祝]11:00～21:00,"￥1,000～￥1,999",無,33席,無
鮎ラーメン 二子玉川本店（あゆらーめん）,世田谷区玉川3-15-12 玉川３丁目マンション　１０２号,世田谷区,3.59,639,21548,[全日]11:30～14:30(売切終了) (季節のメニュー)17:00～23:00(売切終了)(鮎ラーメン)※お昼の季節のメニューGW頃～9月末頃：鮎涼ラーメン10月頃～GW頃：しょうがそば,[全日]11:30～14:30(売切終了) (季節のメニュー)17:00～23:00(売切終了)(鮎ラーメン)※お昼の季節のメニューGW頃～9月末頃：鮎涼ラーメン10月頃～GW頃：しょうがそば,"￥1,000～￥1,999",無,7席,無
